iter	RMSE
334	2.285602399
335	2.285164943
336	2.284675752
337	2.283935032
338	2.283421754
339	2.282973251
340	2.282701857
341	2.281870076
342	2.281256957
343	2.280938846
344	2.280492777
345	2.279751873
346	2.279253995
347	2.278573138
348	2.27814304
349	2.277709644
350	2.277158183
351	2.276886979
352	2.27644554
353	2.275995159
354	2.275540634
355	2.275151598
356	2.274880483
357	2.274496307
358	2.274068907
359	2.273747045
360	2.272982834
361	2.272603296
362	2.272189183
363	2.271452357
364	2.271084892
365	2.270760083
366	2.270169531
367	2.26971547
368	2.269218586
369	2.268805208
370	2.26833189
371	2.267893095
372	2.267511634
373	2.266912463
374	2.266391622
375	2.265801665
376	2.264940054
377	2.264639721
378	2.264029691
379	2.263733564
380	2.263338846
381	2.26298574
382	2.262395413
383	2.261819423
384	2.261439096
385	2.261127956
386	2.260797759
387	2.260192419
388	2.259742781
389	2.259440205
390	2.259059099
391	2.258661413
392	2.258177049
393	2.257365321
394	2.256906307
395	2.256366244
396	2.2560038
397	2.25536822
398	2.254931466
399	2.254486753
400	2.253748287
401	2.252896336
402	2.252388129
403	2.251658939
404	2.251235349
405	2.250879887
406	2.250751773
407	2.250387153
408	2.249997223
409	2.249639461
410	2.24927156
411	2.2488079
412	2.248499714
413	2.247945472
414	2.247339764
415	2.246936087
416	2.246558899
417	2.246066581
418	2.245769757
419	2.245364121
420	2.244916816
421	2.244547926
422	2.244153555
423	2.243724436
424	2.243480938
425	2.243402204
426	2.243107838
427	2.242837094
428	2.242378347
429	2.241919765
430	2.241446778
431	2.240979543
432	2.240622078
433	2.24009121
434	2.239555992
435	2.239015504
436	2.238860199
437	2.238418776
438	2.237877501
439	2.237597309
440	2.236886656
441	2.23644999
442	2.236029511
443	2.23548897
444	2.234950131
445	2.234096333
446	2.233644402
447	2.233099241
448	2.232636792
449	2.23225069
450	2.231844727
451	2.231476031
452	2.231066252
453	2.230774888
454	2.230395199
455	2.230065995
456	2.229546781
457	2.229318266
458	2.228813685
459	2.228410745
460	2.228207256
461	2.227620658
462	2.227009836
463	2.226486259
464	2.226076026
465	2.225429816
466	2.224985737
467	2.224596868
468	2.224197648
469	2.223872628
470	2.223850786
471	2.223286516
472	2.223064077
473	2.222555696
474	2.222255727
475	2.221812263
476	2.221542128
477	2.220746984
478	2.220394402
479	2.220048028
480	2.219590801
481	2.219290704
482	2.218831279
483	2.218469418
484	2.218128255
485	2.217874177
486	2.217310837
487	2.216765919
488	2.216496558
489	2.216028635
490	2.215668599
491	2.215342796
492	2.215035957
493	2.214665365
494	2.214343396
495	2.213984547
496	2.213915356
497	2.213645378
498	2.213217032
499	2.212893148
500	2.212619434
501	2.212251171
502	2.211964494
503	2.211722876
504	2.211528925
505	2.210949808
506	2.210735582
507	2.210228756
508	2.209804415
509	2.209352478
510	2.208842462
511	2.20867912
512	2.208221666
513	2.207664617
514	2.20721458
515	2.206674463
516	2.20599492
517	2.205600908
518	2.20532587
519	2.204897932
520	2.204450947
521	2.204085182
522	2.203704188
523	2.202966835
524	2.202387671
525	2.201971335
526	2.201663339
527	2.201161841
528	2.200935436
529	2.200705521
530	2.200310065
531	2.200021133
532	2.199526553
533	2.199335418
534	2.198825518
535	2.198543856
536	2.198102843
537	2.198008677
538	2.197448263
539	2.197182938
540	2.196633904
541	2.196310084
542	2.195801428
543	2.195599343
544	2.195242748
545	2.194718926
546	2.193844348
547	2.193539371
548	2.193302114
549	2.192931816
550	2.192635311
551	2.192217844
552	2.192056211
553	2.191435531
554	2.191210871
555	2.19094289
556	2.190699306
557	2.190294484
558	2.189932449
559	2.189482598
560	2.18907441
561	2.188876356
562	2.188665653
563	2.188108729
564	2.187725356
565	2.18729661
566	2.186848662
567	2.186553348
568	2.186356812
569	2.185952422
570	2.185622453
571	2.185371027
572	2.185094613
573	2.184691189
574	2.184362628
575	2.183765813
576	2.183079314
577	2.182760695
578	2.18243842
579	2.182085118
580	2.181603743
581	2.181331492
582	2.181029819
583	2.180445049
584	2.180117857
585	2.179508796
586	2.179331566
587	2.178661298
588	2.178190339
589	2.178004638
590	2.177605187
591	2.177099367
592	2.176948334
593	2.176470313
594	2.175930673
595	2.175485346
596	2.175116362
597	2.174436319
598	2.174226236
599	2.173683749
